Label Ep_x Ep_y Ep_z Ev_x Ev_y Ev_z t_t m_0 |Delta_a| |Delta_e| cos(Delta_i) Delta_Omega Delta_omega Delta_theta
0.0 -267291068152.55563 -46077845783.34775 3621259615.0320473 -12927.149235901232 -4406.705184711845 261.48276420652087 46339022.203104764 816.3799573747501 78346002630.4234 0.07670961732725667 0.999481491005496 -2.2777551273562135 0.0638131736846077 0.41529613199444004
0.0 -3998722.0021209717 6088896.207107544 2783477.7332015038 -12388.579206143871 7788.776617865111 1514.6823174364279 46024468.78712706 839.6336436166862 78346000034.13779 0.07670946128414122 0.9994814762489006 -2.277748453343372 0.06380317396969026 0.680841485711557
0.0 33897647242.839447 109503258117.6972 7375731321.576655 2250.3723696468696 7847.663584895105 -723.4305123487154 34339412.83964981 810.5461489233888 78345987244.4996 0.07670900606553535 0.9994814435620234 -2.2777227490792193 0.06374593536586382 -0.10167886156989425
0.0 -16702635.821655273 17002930.88409424 -32449336.2216475 -4658.248427168299 -548.9451683230072 767.4179460660745 34166467.419661194 822.2034698608892 78345983480.82797 0.07670877110575719 0.9994814210520017 -2.2777128738774746 0.06373166222149518 0.501677464803397
0.0 140672765551.01254 -87331219311.04996 -4050607694.4773407 23888.31018927226 20238.99518027358 10.951221008816447 67079644.35797837 873.1130477260797 78346040213.80576 0.07671137554522471 0.9994816407137047 -2.277840283732389 0.06397067044509264 -0.444362009700364
0.0 31400658.287384033 17103188.95891571 -19365355.13498974 -51.10904779349403 587.9609334347842 76.93854371536236 66472107.79255397 873.9350118929837 78346039460.14258 0.07671134621398389 0.9994816384681332 -2.277838711692119 0.06396736130071012 -0.476988707924346
0.0 45841852947.35281 40030061648.17857 -4816815035.756811 5483.272142320613 -347.3517759271999 381.67133058318143 68884373.11524943 837.7280489592272 78346041615.91217 0.07671140925266566 0.9994816422295963 -2.277842731020055 0.06397735768691337 -0.21517763615693664
0.0 1548995.0084228516 10749791.581306458 -16656238.01915884 1764.233413873967 1910.7537891799984 -725.336808112314 68159809.90517373 861.6260393204647 78346040858.82193 0.07671138332199125 0.9994816404247766 -2.277841232694689 0.06397394354623742 -0.27899498331621975
0.0 -96723531769.98404 -38130026113.74438 2696444487.058802 6511.624058002037 3102.4717738108047 -244.09869630488242 75312317.28406861 861.390498035157 78346051138.77536 0.07671181848040218 0.9994816755312216 -2.2778634780102456 0.06401818730442788 0.06474637705434383
1.0 168243.65644836426 3203107.3324890137 1500411.8431904316 -1496.2876559916476 528.146426781309 158.34891074424831 75235751.70860536 878.3154083834855 78346050954.30191 0.07671180906987903 0.9994816746968845 -2.2778630421708606 0.06401743411815275 0.07019094383553076
0.0 25034587694.236084 55244825136.55905 -6774760109.081301 2870.793773354475 -2704.0255718424105 314.259566474327 70475707.24465817 855.402535565925 78346004868.41553 0.0767090137264233 0.9994814095217265 -2.277743990996506 0.06384058044712937 -0.5042067350170898
0.0 8545270.127471924 14665609.223983765 5897094.704380751 1671.8778514438545 1654.1378524974898 545.6082222492204 70099497.9231647 879.4826425297207 78346004827.85272 0.07670902277185082 0.9994814107568821 -2.277744149486539 0.06384013193306526 -0.5898872656155996
0.0 -27031806680.929382 103066788316.98195 -1346053402.9364123 -997.6568923334671 12547.351297453055 720.4520130672616 72306391.79859786 852.3846679599691 78346046503.40936 0.0767116154813294 0.9994816588361966 -2.2778532921563412 0.06399840979482896 -0.061917275792383875
0.0 12121708.475860596 -12196350.83517456 23524616.818361282 -884.4597600690686 861.1072868474585 245.9981440963544 71788710.02798198 857.3357725307699 78346045698.82571 0.07671158011982405 0.9994816559222783 -2.2778515212647505 0.06399498011821159 -0.08079356990561948
0.0 106760909101.00177 -231844278.24365234 -10149567751.931614 10581.34790483147 17419.000369486985 977.9260215564384 72390453.54545034 848.7107193441497 78346006553.75024 0.07670906211524484 0.9994814123490342 -2.277747112776774 0.06384841814937214 -0.2902093261790333
0.0 5279176.015930176 -1574986.3946533203 4187755.195152998 1322.1035697402458 1655.113050309148 225.31127559998245 72011749.87232988 868.9243185801563 78346006310.29639 0.07670905828332215 0.9994814123436998 -2.2777467340843316 0.06384720557789336 -0.34638738443261985
0.0 27259362170.96573 101461693957.89066 -2987671146.766716 2643.312645941747 6716.96045307581 -426.7064469649612 31945527.69810247 788.7448564001584 78345985959.15659 0.07670899803471047 0.9994814450908815 -2.277721028893234 0.06373922292140133 -0.45496790814735455
0.0 -1390392.617767334 697467.4339447021 4963853.717432946 -4921.348396962687 350.1772842186183 853.7993441938128 32190362.469021372 804.4078996641393 78345981429.71747 0.07670870126001843 0.9994814162128391 -2.277708823894846 0.06372240230029291 0.3820337785199479
0.0 -56464600823.22305 32439108261.189606 4720066881.636736 -1967.5522242625757 6327.115826424553 227.78268777229488 76121768.17126906 860.7575868406003 78346013014.13577 0.07670935920621066 0.9994814374308947 -2.277761633155105 0.06387562177655592 -0.2632652025653916
0.0 -4190219.7610855103 3153925.2715148926 -3845246.378795624 -1084.0193460921546 2659.9460766885404 683.7113990461442 75077682.8386432 859.1481241587874 78346012306.7576 0.07670934633175128 0.999481437193271 -2.277760493003467 0.06387214283384068 -0.42329828440224204
0.0 113533172936.66663 40271373194.29756 529379502.82103825 9388.626680597867 -928.7211724515146 116.14805726234889 60733455.623383954 833.623730965173 78346039217.67538 0.07671150821666632 0.9994816596220372 -2.2778421287877006 0.06396193306484932 -1.8524610150513932
0.0 9714252.377441406 -13970416.989501953 18678628.919142723 1380.3712938597191 1599.8578925005713 -5958.583654558204 60352272.94190187 868.3487790722994 78346034243.57462 0.0767112024119366 0.9994816304810794 -2.277829185642326 0.06394294941622292 -1.127849138384089
0.0 -58595306255.96878 46652461667.18995 2530803584.9558144 -14970.52189869632 -787.5136472260856 -198.33066816714563 75903496.51939489 864.0119305506995 78346053707.79648 0.07671196422724114 0.9994816890252795 -2.277869883834134 0.0640283023691417 -0.1321528023462486
0.0 -14394021.414672852 -7524428.510696411 -6720613.717494249 -3444.3212414974496 519.5469436897365 968.4733498196965 75617701.26453681 879.1967831543311 78346052687.86514 0.07671190794417038 0.9994816838696564 -2.2778673768038584 0.0640242463529832 -0.06444582754838513
0.0 -276840069632.95807 140031226633.15186 7440492542.609753 -22334.21365153124 -1024.7341604304802 -333.170051292734 69796103.38208148 831.3680260718235 78346017084.90283 0.07670981476184272 0.9994814874842775 -2.2777769230908493 0.0638859326961736 4.0663310217313455
0.0 -120700.72854614258 -2824143.5302581787 -1280272.0365467072 -4148.254307878271 -651.6092864164348 4639.517512278831 69195535.25515059 867.274946080984 78346016457.77945 0.07670979329461858 0.9994814859905553 -2.2777756822531776 0.06388310434457178 4.008039333036711
0.0 98285338413.71298 -47299044947.99649 -179375927.81552267 12052.51957391443 -110.60494059335178 47.586734362499726 65746869.75511981 835.9429871397479 78346001393.40204 0.0767089381012372 0.9994814067741907 -2.277738106716849 0.0638238051398794 -1.1137340486279115
0.0 1758658.7901000977 6192224.118553162 8411799.24169159 669.0410057923223 1317.8944053977139 -1629.4670381957012 65501725.87918286 862.4787547713596 78346001193.40942 0.07670893291358287 0.9994814065094916 -2.277737748953887 0.0638228609553666 -1.1412928386825856
0.0 -5320062790.051071 56839128998.057205 -4513305093.00926 -5306.630741369572 8781.009383793333 -855.0481005429813 71453497.41264313 840.6263144703378 78346048143.6182 0.07671174658604042 0.9994816723072142 -2.2778582526916615 0.06400389930098882 -0.47737454550004466
1.0 -10591381.88168335 2542145.620788574 8425287.317375183 -106.85290203356635 777.3548517015697 251.9850416047966 70588025.63246858 845.8682245171641 78346046773.83588 0.07671168589328475 0.9994816672837981 -2.277855226567328 0.06399807286005377 -0.5099723585983277
0.0 -78952153430.08655 -49622317890.335106 1359960812.9574947 -1262.7870204845062 6856.380838603633 -314.51334349241284 77123974.22554207 837.9994867186605 78346053626.23492 0.07671192127283669 0.9994816837063195 -2.2778688034621872 0.06402895677392806 0.1716326162330014
1.0 4733758.051383972 -8871010.559906006 -16534226.863222122 -684.0737962265157 41.630586083006165 -84.89967214907595 76682621.21427026 854.3581472109034 78346052473.76053 0.07671186133801325 0.999481678347979 -2.2778660544383555 0.06402428044707609 0.2196556539086742
0.0 -66392958746.5121 55123800755.658356 -3740490133.650201 -5212.601680498648 10922.025678941263 -315.40501023523086 76411325.47959377 852.155038541454 78346050482.66583 0.07671174259817591 0.9994816671518953 -2.277860957405638 0.0640165879863881 0.41295846937263586
